SDN,CRUISE,STATION,LON,LAT,date,lon_W
739394.907881841,1902685,51,-157.001310666667,19.4086688333333,2024-47-22,-157.001310666667
739399.909224486,1902685,52,-156.774361166667,19.32831,2024-49-27,-156.774361166667
739404.909259208,1902685,53,-156.526999833333,19.2523201666667,2024-49-01,-156.526999833333
739409.907870319,1902685,54,-156.305245,19.2513965,2024-47-06,-156.305245
739414.907881842,1902685,55,-156.166819333333,19.3123061666667,2024-47-11,-156.166819333333
739419.907881843,1902685,56,-156.072822,19.4779946666667,2024-47-16,-156.072822
739424.910648097,1902685,57,-156.093776333333,19.6230988333333,2024-51-21,-156.093776333333
739429.909270731,1902685,58,-156.1276405,19.724017,2024-49-26,-156.1276405
739434.829097171,1902685,59,-156.1248315,19.9021083333333,2024-53-01,-156.1248315
739439.653449074,1902685,60,-155.958755666667,20.072182,2024-40-06,-155.958755666667
739448.556354269,1902685,61,-155.918869,20.2910945,2024-21-15,-155.918869
739457.904398093,1902685,62,-156.0712785,20.2935845,2024-42-24,-156.0712785
739466.909259202,1902685,63,-156.3731865,20.1546721666667,2024-49-02,-156.3731865
738923.571724537,2903787,1,67.0495408333333,-52.5130391666667,2023-43-06,67.0495408333333
738924.297581019,2903787,1,67.1334521666667,-52.5412161666667,2023-08-07,67.1334521666667
738925.29611085,2903787,2,67.2972638333333,-52.5434415,2023-06-08,67.2972638333333
738926.296110868,2903787,3,67.3608573333333,-52.5473653333333,2023-06-09,67.3608573333333
738927.29748818,2903787,4,67.4445733333333,-52.5560065,2023-08-10,67.4445733333333
738930.300231312,2903787,5,67.7038801666667,-52.6142766666667,2023-12-13,67.7038801666667
738933.296064732,2903787,6,67.8778558333333,-52.666898,2023-06-16,67.8778558333333
738943.298877183,2903787,7,68.2504396666667,-52.8249906666667,2023-10-26,68.2504396666667
738953.298877212,2903787,8,68.4880581666667,-53.0641253333333,2023-10-08,68.4880581666667
738963.301666536,2903787,9,68.6175185,-53.2373181666667,2023-14-18,68.6175185
738973.298865638,2903787,10,68.8030153333333,-53.2011251666667,2023-10-28,68.8030153333333
738983.297476769,2903787,11,68.8718265,-53.1999768333333,2023-08-07,68.8718265
738993.294710521,2903787,12,69.1091221666667,-53.166567,2023-04-17,69.1091221666667
739003.296076309,2903787,13,69.3768813333333,-53.0377493333333,2023-06-27,69.3768813333333
739013.297511418,2903787,14,69.576325,-52.8669625,2023-08-07,69.576325
739023.2974652,2903787,15,69.5977966666667,-52.6305001666667,2023-08-17,69.5977966666667
739033.300254524,2903787,16,69.4836086666667,-52.4744941666667,2023-12-27,69.4836086666667
739043.300289193,2903787,17,69.501055,-52.2816716666667,2023-12-06,69.501055
739053.297465199,2903787,18,69.572237,-52.0917525,2023-08-16,69.572237
739063.29751141,2903787,19,69.598723,-52.0203035,2023-08-26,69.598723
739073.29611098,2903787,20,69.5380631666667,-52.0726836666667,2023-06-06,69.5380631666667
739083.296087861,2903787,21,69.5970441666667,-52.1104675,2023-06-16,69.5970441666667
739093.29612253,2903787,22,69.8085171666667,-52.096821,2023-06-26,69.8085171666667
739103.298888756,2903787,23,69.8829611666667,-52.0124583333333,2023-10-05,69.8829611666667
739113.297476749,2903787,24,69.6296983333333,-51.9150781666667,2023-08-15,69.6296983333333
